Id,SalePrice
1461,129429.33
1462,155408.37
1463,176414.37
1464,183344.85
1465,206237.12
1466,184088.9
1467,175391.59
1468,174978.79
1469,177300.4
1470,119645.5
1471,191331.7
1472,90393.0
1473,104610.0
1474,151756.5
1475,136033.0
1476,366261.25
1477,268090.43
1478,301532.05
1479,235123.59
1480,428052.01
1481,304439.01
1482,212443.27
1483,178109.13
1484,170435.64
1485,169884.69
1486,200395.5
1487,328539.66
1488,244613.28
1489,210913.06
1490,202228.91
1491,191131.8
1492,101608.0
1493,178322.85
1494,293680.03
1495,308087.29
1496,213737.95
1497,176660.62
1498,150954.15
1499,150369.02
1500,156656.53
1501,170976.25
1502,152212.71
1503,312864.45
1504,225577.67
1505,217302.86
1506,194761.2
1507,226284.1
1508,206710.2
1509,164217.84
1510,150193.74
1511,150243.74
1512,161678.69
1513,160667.5
1514,172738.55
1515,174490.0
1516,174088.7
1517,149947.0
1518,129334.95
1519,225610.15
1520,138310.25
1521,146116.75
1522,166960.0
1523,109717.0
1524,121125.25
1525,130173.0
1526,128675.5
1527,109095.5
1528,130448.75
1529,142326.12
1530,163960.85
1531,127503.99
1532,106098.5
1533,152375.25
1534,118925.83
1535,164833.75
1536,123130.91
1537,90228.33
1538,203251.3
1539,237470.56
1540,112599.4
1541,159335.24
1542,147886.59
1543,214376.01
1544,84187.0
1545,102437.0
1546,121794.5
1547,134714.48
1548,136671.34
1549,123560.5
1550,148352.34
1551,118383.75
1552,147696.62
1553,154635.99
1554,109621.28
1555,177483.5
1556,95464.0
1557,126869.0
1558,94705.0
1559,117054.92
1560,151426.14
1561,150318.55
1562,127810.66
1563,121773.08
1564,157182.62
1565,151754.37
1566,201890.65
1567,88754.5
1568,217395.5
1569,138922.18
1570,132029.65
1571,134626.02
1572,145129.0
1573,240461.01
1574,120667.5
1575,205033.97
1576,214998.65
1577,203761.64
1578,156165.5
1579,144770.0
1580,196082.79
1581,143293.12
1582,128123.0
1583,346875.78
1584,247875.79
1585,139300.6666666667
1586,80358.0
1587,110864.25
1588,148666.87
1589,108954.0
1590,135668.5
1591,103969.5
1592,128684.75
1593,113492.02
1594,127944.23
1595,125787.39
1596,223009.83
1597,162754.71
1598,195939.4
1599,211792.12
1600,200039.52
1601,74249.0
1602,112384.5
1603,104452.5
1604,272927.24
1605,252718.95
1606,168582.0
1607,179480.67
1608,212144.78
1609,201407.59
1610,154684.36
1611,151344.87
1612,154839.94
1613,171079.9
1614,123060.08333333334
1615,84514.0
1616,84667.5
1617,93184.5
1618,127202.0
1619,134967.0
1620,158496.68
1621,142349.85
1622,152045.07
1623,297538.32
1624,214065.43
1625,127163.66
1626,169925.0
1627,190383.58
1628,287022.98
1629,171038.28
1630,371356.43
1631,227433.11
1632,252367.09
1633,163011.03
1634,183029.5
1635,181449.32
1636,170483.9
1637,167804.1
1638,207097.9
1639,185109.2
1640,251426.02
1641,186469.4
1642,216174.24
1643,221475.41
1644,231499.66
1645,175406.5
1646,153911.19
1647,158320.3
1648,144357.12
1649,141964.5
1650,119852.0
1651,121219.0
1652,91873.0
1653,99621.5
1654,158938.0
1655,152420.87
1656,150465.42
1657,159189.9
1658,152474.4
1659,139555.23
1660,143104.0
1661,426735.97
1662,369638.29
1663,379384.84
1664,413825.29
1665,308027.35
1666,335557.46
1667,365940.14
1668,322129.91
1669,292209.81
1670,338300.85
1671,255438.66
1672,431676.01
1673,307663.06
1674,250051.91
1675,188039.75
1676,187859.57
1677,214012.65
1678,393446.95
1679,385054.4
1680,335152.85
1681,270415.48
1682,299849.08
1683,186825.14
1684,174015.33
1685,172983.5
1686,169260.69
1687,163770.61
1688,191771.55
1689,187843.15
1690,185414.4
1691,166949.05
1692,267423.44
1693,165189.02
1694,186293.95
1695,164830.21
1696,275828.92
1697,171050.09
1698,360093.43
1699,336093.88
1700,245711.25
1701,271575.47
1702,266458.87
1703,253956.04
1704,311914.37
1705,238656.03
1706,380486.77
1707,216672.66
1708,218132.05
1709,298566.81
1710,230321.18
1711,262152.38
1712,231578.58
1713,245805.09
1714,220509.32
1715,198987.18
1716,191765.42
1717,164717.72
1718,138416.62
1719,205193.42
1720,258839.41
1721,170617.38
1722,131032.75
1723,156368.87
1724,215660.53
1725,231573.66
1726,184771.34
1727,176477.87
1728,190508.9
1729,162818.93
1730,172882.15
1731,121883.16
1732,131275.53
1733,124531.66
1734,132940.5
1735,133403.5
1736,117975.0
1737,363874.13
1738,220495.43
1739,255831.71
1740,184432.7
1741,183564.47
1742,168552.55
1743,166551.43
1744,322668.43
1745,214830.43
1746,268199.16
1747,207303.93
1748,204580.08
1749,156476.32
1750,152256.87
1751,231702.72
1752,122455.16
1753,145837.2
1754,213850.3
1755,163253.37
1756,121443.0
1757,120204.5
1758,150037.87
1759,166604.0
1760,154965.0
1761,160180.74
1762,166969.38
1763,162886.0
1764,116103.5
1765,185973.0
1766,167116.5
1767,214452.28
1768,138214.5
1769,156315.0
1770,140071.0
1771,137023.25
1772,139373.43
1773,140660.0
1774,129537.63
1775,129275.5
1776,119043.5
1777,116342.5
1778,128082.75
